model,query_count,walltime_minutes,status
12B-QAT,100,10.8,COMPLETED
12B-QAT,200,14.93,COMPLETED
12B-QAT,300,18.92,COMPLETED
12B-QAT,400,22.85,COMPLETED
12B-QAT,500,26.82,COMPLETED
12B-QAT,600,31.4,COMPLETED
12B-QAT,700,34.9,COMPLETED
12B-QAT,800,1.9,COMPLETED
12B-QAT,900,1.35,COMPLETED
12B-QAT,1000,47.48,COMPLETED
27B-QAT,100,13.73,COMPLETED
27B-QAT,200,18.75,COMPLETED
27B-QAT,300,26.78,COMPLETED
27B-QAT,400,34.7,COMPLETED
27B-QAT,500,42.22,COMPLETED
27B-QAT,600,6.15,COMPLETED
27B-QAT,700,51.52,COMPLETED
27B-QAT,800,58.52,COMPLETED
27B-QAT,900,65.28,COMPLETED
27B-QAT,1000,64.62,COMPLETED
